"","gridcode","Classe","Groupe"
"1",91,"Autres terres","Naturel"
"2",31,"Eau","Eau"
"3",41,"For<ea>t","Naturel"
"4",49,"For<ea>ts en r<e9>g<e9>n<e9>ration apr<e8>s un incendie <20 ans","Naturel"
"5",43,"For<ea>ts en r<e9>g<e9>n<e9>ration apr<e8>s une r<e9>colte < 20 ans","Naturel am<e9>nag<e9>"
"6",47,"For<ea>ts en r<e9>g<e9>n<e9>ration apr<e8>s une r<e9>colte 20-29 ans","Naturel am<e9>nag<e9>"
"7",24,"For<ea>ts habit<e9>es","Naturel am<e9>nag<e9>"
"8",84,"For<ea>ts habit<e9>es nouvellement d<e9>tect<e9>e <10 ans","Naturel am<e9>nag<e9>"
"9",21,"Lieux habit<e9>s","Artificialis<e9>"
"10",22,"Lieux habit<e9>s <e0> grande r<e9>flectance","Artificialis<e9>"
"11",82,"Lieux habit<e9>s <e0> grande r<e9>flectance nouvellement d<e9>tect<e9> <10 ans","Artificialis<e9>"
"12",29,"Lieux habit<e9>s <e0> tr<e8>s grande r<e9>flectance","Artificialis<e9>"
"13",89,"Lieux habit<e9>s <e0> tr<e8>s grande r<e9>flectance nouvellement d<e9>tect<e9> <10 ans","Artificialis<e9>"
"14",81,"Lieux habit<e9>s nouvellement d<e9>tect<e9> <10 ans","Artificialis<e9>"
"15",28,"Lieux habit<e9>s v<e9>g<e9>talis<e9>s","l<e9>g<e8>rement artificialis<e9>"
"16",88,"Lieux habit<e9>s v<e9>g<e9>talis<e9>s nouvellement d<e9>tect<e9> <10 ans","l<e9>g<e8>rement artificialis<e9>"
"17",61,"Prairies am<e9>nag<e9>es","Naturel am<e9>nag<e9>"
"18",62,"Prairies non am<e9>nag<e9>es","Naturel am<e9>nag<e9>"
"19",85,"Route nouvellement d<e9>tect<e9>e <10 ans","Artificialis<e9>"
"20",25,"Routes","Artificialis<e9>"
"21",55,"Terre convertie en terre cultiv<e9>e","Naturel am<e9>nag<e9>"
"22",56,"Terres converties en terres cultiv<e9>es annuelles","Naturel am<e9>nag<e9>"
"23",51,"Terres cultiv<e9>es","Naturel am<e9>nag<e9>"
"24",52,"Terres cultiv<e9>es annuelles","Naturel am<e9>nag<e9>"
"25",71,"Terres humides","Naturel"
"26",44,"Terres humides de for<ea>t en r<e9>g<e9>n<e9>ration apr<e8>s une r<e9>colte (< 20 ans)","Naturel am<e9>nag<e9>"
"27",48,"Terres humides de for<ea>t en r<e9>g<e9>n<e9>ration apr<e8>s une r<e9>colte 20-29 ans","Naturel am<e9>nag<e9>"
"28",42,"Terres humides en for<ea>t","Naturel"
